"","pickupdate","birthyear","gender","race","disposition","dispdate","sentdate","felonycharges","highestcharge","nondrug","drug1","drug2","incarc","suspend","probat","priorarr","priorfelarr","priordrugarr","priorfeldrugarr","priorcon","priorfelcon","priordrugcon","priorfeldrugcon","laterarr","laterarrdate","laterfelarr","laterfelarrdate","laterdrugarr","laterdrugarrdate","laterfeldrugarr","laterfeldrugarrdate","latercon","latercondate","laterfelcon","laterfelcondate","laterdrugcon","laterdrugcondate","laterfeldrugcon","laterfeldrugcondate","probrevoke","probrevokedate","codef","clusterid","ccn","datacoder","cutoffdate1","cutoffdate2","cutoffdate3","toserve","fullreleasetorecid","female","nonblack","pickupdatecode","age","agesq","incjudge","calendar1","calendar2","calendar3","calendar4","calendar5","calendar6","calendar7","calendar8","calendar9","calendar","incarcerate","marijuana","cocaine","crack","heroin","pcp","otherdrug","pwid","dist","conviction","probatnonzero","probsuspend"
"1","7/23/2002",1979,"M","B","Dismissed","3/27/2003","",1,"pwid",0,"pcp","0",0,0,0,1,0,0,0,0,0,0,0,1,"5/19/2004",1,"5/19/2004",1,"5/19/2004",1,"5/19/2004",1,"7/23/2004",1,"7/23/2004",1,"7/23/2004",1,"7/23/2004",0,"0",0,236,121453,"1",17714,17898,18049,0,419,0,0,15544,23,529,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"2","11/27/2002",1980,"M","B","Plea","1/21/2003","4/3/2003",1,"dist",0,"marijuana","0",12,7.15999984741211,24,1,1,1,0,1,0,1,0,1,"9/28/2005",1,"9/28/2005",1,"9/28/2005",1,"9/28/2005",1,"11/14/2005",1,"11/14/2005",1,"11/14/2005",1,"11/14/2005",1,"2/07/2006",0,668,188341,"1",17714,17898,18049,4.84000015258789,835.7998046875,0,0,15671,22,484,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,171.839996337891
"3","1/6/2003",1979,"M","B","Dismissed","1/24/2003","",1,"pwid",0,"heroin","marijuana",0,0,0,1,0,1,0,1,0,1,0,1,"8/17/2004",1,"8/17/2004",1,"8/17/2004",1,"8/17/2004",1,"3/11/2005",0,"0",1,"3/11/2005",0,"0",0,"0",0,2803,14713,"1",17714,17898,18049,0,571,0,0,15711,24,576,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"4","11/14/2002",1964,"F","B","Plea","4/9/2003","12/12/2003",1,"dist",0,"cocaine","0",120,120,24,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,606,181731,"1",17714,17898,18049,0,9999,1,0,15658,38,1444,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2880
"5","11/14/2002",1974,"F","B","Dismissed","3/20/2003","",1,"pwid",0,"crack","0",0,0,0,1,0,1,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,607,181528,"1",17714,17898,18049,0,9999,1,0,15658,28,784,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"6","1/30/2003",1972,"M","B","Plea","4/8/2003","6/10/2003",2,"dist",1,"marijuana","0",12,12,12,1,1,1,1,1,1,1,1,1,"2/17/2005",1,"2/17/2005",1,"2/17/2005",1,"2/17/2005",1,"3/21/2007",1,"3/21/2007",1,"3/21/2007",1,"3/21/2007",0,"0",0,934,26093,"2",17714,17898,18049,0,681,0,0,15735,31,961,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,144
"7","10/31/2002",1982,"F","B","Plea","6/14/2004","9/3/2004",1,"dist",0,"cocaine","0",0,0,24,1,0,0,0,0,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,556,174442,"1",17714,17898,18049,0,9999,1,0,15644,20,400,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
"8","8/15/2002",1966,"M","B","Plea","3/4/2003","3/24/2003",1,"pwid",1,"cocaine","0",3,0,0,1,0,1,0,1,0,1,0,1,"2/18/2004",1,"2/18/2004",1,"2/18/2004",1,"2/18/2004",1,"5/19/2004",1,"5/19/2004",1,"5/19/2004",1,"5/19/2004",0,"0",0,326,134065,"1",17714,17898,18049,3,261,0,0,15567,36,1296,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
"9","1/8/2003",1983,"F","B","Plea","2/24/2003","1/26/2004",1,"dist",0,"pcp","0",24,12,24,1,1,1,1,1,0,0,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,809,227348,"1",17714,17898,18049,12,9999,1,0,15713,20,400,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,288
"10","6/25/2002",1981,"M","B","Dismissed","10/29/2002","",1,"pwid",1,"cocaine","0",0,0,0,1,1,1,1,1,0,1,0,1,"1/13/2005",1,"1/13/2005",1,"1/13/2005",1,"1/13/2005",1,"5/23/2005",1,"5/23/2005",1,"5/23/2005",1,"5/23/2005",0,"0",0,96,2105976,"1",17714,17898,18049,0,807,0,0,15516,21,441,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"11","12/31/2002",1964,"M","B","Plea","6/14/2004","9/3/2004",1,"pwid",0,"cocaine","marijuana",3,0,0,1,1,1,1,1,1,1,1,1,"1/18/2006",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,783,204570,"1",17714,17898,18049,3,493,0,0,15705,38,1444,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0
"12","11/1/2002",1978,"M","B","Dismissed","11/21/2002","",1,"pwid",0,"crack","0",0,0,0,0,0,0,0,0,0,0,0,1,"8/5/2005",0,"0",1,"8/05/2005",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,566,175004,"1",17714,17898,18049,0,988,0,0,15645,24,576,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"13","8/2/2002",1975,"M","B","Plea","1/23/2004","8/4/2004",1,"dist",0,"marijuana","0",24,24,18,1,1,1,1,1,1,1,0,1,"3/4/2006",1,"3/04/2006",0,"0",0,"0",1,"11/28/2006",1,"11/28/2006",0,"0",0,"0",1,"4/08/2005",0,281,127132,"1",17714,17898,18049,0,771,0,0,15554,27,729,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,432
"14","11/15/2002",1980,"M","B","Plea","6/19/2003","11/5/2003",1,"pwid",0,"cocaine","0",12,12,24,0,0,0,0,0,0,0,0,1,"10/20/2005",1,"10/20/2005",1,"10/20/2005",1,"10/20/2005",0,"0",0,"0",0,"0",0,"0",0,"0",0,621,182995,"1",17714,17898,18049,0,854,0,0,15659,22,484,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,288
"15","9/11/2002",1968,"F","B","Grand jury dismissal","2/19/2004","",1,"pwid",0,"heroin","0",0,0,0,1,1,1,1,1,1,1,1,1,"5/28/2007",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,404,148458,"1",17714,17898,18049,0,1194,1,0,15594,34,1156,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"16","10/23/2002",1979,"M","B","Dismissed","9/29/2003","",1,"dist",0,"marijuana","0",0,0,0,1,1,1,1,1,0,1,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,526,170445,"1",17714,17898,18049,0,9999,0,0,15636,23,529,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"17","6/24/2002",1984,"M","B","Plea","7/29/2002","3/31/2003",1,"dist",0,"marijuana","0",60,36,36,1,1,0,0,1,1,0,0,1,"8/19/2004",1,"2/21/2006",1,"8/19/2004",0,"0",1,"10/26/2004",1,"2/06/2007",1,"10/26/2004",0,"0",1,"11/04/2004",0,94,104429,"1",17714,17898,18049,24,32,0,0,15515,18,324,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1296
"18","3/24/2003",1962,"M","B","Grand jury dismissal","3/26/2003","0",1,"pwid",0,"cocaine","0",0,0,0,1,1,1,1,1,1,1,1,0,"7/7/2008",0,"0",1,"7/07/2008",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1172,50791,"2",17714,17898,18049,0,1930,0,0,15788,41,1681,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"19","4/17/2003",1961,"M","B","Jury trial guilty","10/28/2003","1/29/2004",2,"pwid",0,"cocaine","marijuana",36,24,24,1,1,1,1,1,1,1,1,0,"9/30/2008",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,1209,62499,"3",17714,17898,18049,12,1439,0,0,15812,42,1764,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,576
"20","8/17/2002",1982,"M","B","Plea","11/19/2002","1/24/2003",2,"dist, pwid",0,"crack","0",24,12,24,1,1,1,1,1,1,1,1,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,"7/14/2004",0,333,2135213,"1",17714,17898,18049,12,9999,0,0,15569,20,400,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,288
"21","1/25/2003",1946,"M","B","Plea","3/28/2003","5/23/2003",1,"dist",0,"heroin","0",60,60,24,1,1,1,1,1,0,1,0,0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",1,892,23627,"3",17714,17898,18049,0,9999,0,0,15730,57,3249,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1440
