DOI (v31),Abstract,Unique Visitors,Visits Trends,Page View Trend,HTML Full Text View (e42),Full Text Views (e44),PDF Full Text View (e53),tweet,date tweeted,Times Cited,,
10.1097/ACM.0000000000000970,"Purpose: Medical school graduates are poorly prepared to address health care inequities found in urban, underserved communities. The University of Illinois College of Medicine developed the Urban Medicine Program (UMed) to prepare students for the roles of advocate, researcher, policy maker, and culturally competent practitioner through a four-year curriculum integrating principles of public health with direct interventions in local, underserved communities. This study assessed the program's effectiveness and evaluated early outcomes.

Method: The authors analyzed data for UMed students (graduating classes 2009-2013) from pre- and postseminar assessments and longitudinal community project progress reports. They also compared UMed and non-UMed outcomes from the same classes, using graduation data and data from two surveys: Medical Students' Attitudes Toward the Underserved (MSATU) and the Intercultural/Professional Assessment.

Results: UMed students were more likely than non-UMed students to endorse MSATU constructs (""Universal medical care is a right"" [P = .01], ""Access to basic medical care is a right"" [P = .03], ""Access is influenced by social determinants"" [P = .03]); to be selected for the Gold Humanism Honor Society (P < .0001); to complete joint degrees (P < .0001); and to enter primary care residencies (P = .002).

Conclusions: Early outcomes reveal that a longitudinal, experiential curriculum can provide students with competencies that may prepare them for leadership roles in advocacy, research, and policy making. Contact with diverse communities inculcates-in medical students with predispositions toward helping underserved populations-the self-efficacy and skills to positively influence underserved, urban communities.",1,1,1,0,0,0,1,3/4/18,6,,
10.1097/ACM.0000000000000960,"Purpose: To examine whether academic scores, experience scores, and Multiple Mini Interview (MMI) core personal competencies scores vary across applicants' self-reported ethnicities, and whether changes in weighting of scores would alter the proportion of ethnicities underrepresented in medicine (URIM) in the entering class composition.

Method: This study analyzed retrospective data from 1,339 applicants to the Rutgers Robert Wood Johnson Medical School interviewed for entering classes 2011-2013. Data analyzed included two academic scores-grade point average (GPA) and Medical College Admission Test (MCAT)-service/clinical/research (SCR) scores, and MMI scores. Independent-samples t tests evaluated whether URIM ethnicities differed from non-URIM across GPA, MCAT, SCR, and MMI scores. A series of ""what-if"" analyses were conducted to determine whether alternative weighting methods would have changed final admissions decisions and entering class composition.

Results: URIM applicants had significantly lower GPAs (P < .001), MCATs (P < .001), and SCR scores (P < .001). However, this pattern was not found with MMI score (non-URIM 10.4 [1.6], URIM 10.4 [1.3], P = .55). Alternative weighting analyses show that including academic/experiential scores impacts the percentage of URIM acceptances. URIM acceptance rate declined from 57% (100% MMI) to 43% (10% GPA/10% MCAT/10% SCR/70% MMI), 39% (30% GPA/70% MMI), to as low as 22% (50% MCAT/50% MMI).

Conclusions: Sole reliance on the MMI for final admissions decisions, after threshold academic/experiential preparation are met, promotes diversity with the accepted applicant pool; weighting of ""the numbers"" or what is written about the application may decrease the acceptance of URIM applicants.

",10,10,10,8,10,2,1,5/4/18,11,,
10.1097/ACM.0000000000000954,"Medical education institutions have a social mandate to produce a diverse physician workforce that meets the public's needs. Recent reports have framed the admission process outcome of undergraduate and postgraduate medical education (UGME and PGME) programs as a key determinant of the collective contributions graduating cohorts will make to society, creating a sense of urgency around the issue of who gets accepted. The need for evidence-informed residency application and selection processes is growing because of the increasing size and diversity of the applicant pool and the need for equity, fairness, social accountability, and health human resource planning. The selection literature, however, is dominated by a UGME focus and emphasizes determination of desirable qualities of future physicians and selection instrument reliability and validity. Gaps remain regarding PGME selection, particularly the creation of specialty-specific selection criteria, suitable outcome measures, and reliable selection systems.In this Perspective, the authors describe the University of Toronto's centralized approach to defining system-level best practices for residency application and selection. Over the 2012-2013 academic year, the Best Practices in Application and Selection working group reviewed relevant literature and reports, consulted content experts, surveyed local practices, and conducted iterative stakeholder consultations on draft recommendations. Strong agreement arose around the resulting 13 principles and 24 best practices, which had either empirical support or face validity. These recommendations, which are shared in this article, have been adopted by the university's PGME advisory committee and will inform a national initiative to improve trainees' transition from UGME to PGME in Canada.",3,3,3,1,2,1,1,3/22/18,11,,
10.1097/ACM.0000000000000939,"As a part of a special collection in this issue of Academic Medicine, which is focused on mastery learning in medical education, this Perspective describes how the expert-performance approach with deliberate practice is consistent with many characteristics of mastery learning. Importantly, this Perspective also explains how the expert-performance approach provides a very different perspective on the acquisition of skill. Whereas traditional education with mastery learning focuses on having students attain an adequate level of performance that is based on goals set by the existing curricula, the expert-performance approach takes an empirical approach and first identifies the final goal of training-namely, reproducibly superior objective performance (superior patient outcomes) for individuals in particular medical specialties. Analyzing this superior complex performance reveals three types of mental representations that permit expert performers to plan, execute, and monitor their own performance. By reviewing research on medical performance and education, the author describes evidence for these representations and their development within the expert-performance framework. He uses the research to generate suggestions for improved training of medical students and professionals. Two strategies-designing learning environments with libraries of cases and creating opportunities for individualized teacher-guided training-should enable motivated individuals to acquire a full set of refined mental representations. Providing the right resources to support the expert-performance approach will allow such individuals to become self-regulated learners-that is, members of the medical community who have the tools to improve their own and their team members' performances throughout their entire professional careers.",22,26,28,19,28,9,1,4/5/18,107,,
10.1097/ACM.0000000000000933,"Guidelines for reporting several types of medical studies have been described in the literature. However, there are no current guidelines to report studies on mastery learning curriculum development and trainee evaluation in medical education. Such guidelines will be important because medical education is moving toward a competency-based model. The authors sought to define standards for the evaluation of mastery learning curricula using previously published guidelines in related fields and expert review.The authors reviewed previously published guidelines from clinical medicine, medical education, and the social sciences. Six authors with expertise in mastery learning curricula, performance assessment, and medical education compiled and reached agreement about a list of guidelines. The authors later circulated the list to 12 other experts and made revisions. A final list of guidelines was established and received group consensus. The Reporting Mastery Education Research in Medicine (ReMERM) guidelines have 22 categories with 38 items considered to be imperative for reporting a mastery learning research study. Details about each item, with a specific focus on those unique to mastery learning, are discussed.The ReMERM guidelines highlight the importance of developing rigorous curricula that embody reliable measures which yield valid decisions about achievement among medical learners. These guidelines should improve the quality of reporting and help educators, authors, peer reviewers, journal editors, and readers to better understand and evaluate mastery learning research. With this shift to competency-based medical education, the ReMERM guidelines should help meet medical educators' needs to achieve these new goals.",1,1,2,0,0,0,1,2/13/18,37,,
10.1097/ACM.0000000000000921,"Purpose: To produce a physician and scientific workforce that advances high-quality research and culturally competent care, academic medical centers (AMCs) must assess their capacity for diversity and inclusion and leverage opportunities for improvement. The Diversity Engagement Survey (DES) is presented as a diagnostic and benchmarking tool.
 
 Method: The 22-item DES consists of eight factors that connect engagement theory to inclusion and diversity constructs. It was piloted at 1 AMC and then administered at 13 additional U.S. AMCs in 2011-2012. Face and content validity were assessed through a review panel. Cronbach alpha was used to assess internal consistency. Confirmatory factor analysis (CFA) was used to establish construct validity. Cluster analysis was conducted to establish ability of the DES to distinguish between institutions' degrees of engagement and inclusion. Criterion validity was established using observed differences in scores for demographic groups as suggested by the literature.
 
 Results: The sample included 13,694 respondents across 14 AMCs. Cronbach alphas for the engagement and inclusion factors (range: 0.68-0.85), CFA fit indices, and item correlations with latent constructs indicated an acceptable model fit and that items measured the intended concepts. Cluster analysis of DES scores distinguished institutions with higher, middle, and lower degrees of engagement and inclusion by their respondents. Consistent with the literature, black, Hispanic/Latino, female, and LGBTQ (lesbian, gay, bisexual, transgender, queer) respondents reported lower degrees of engagement than their counterparts.
 
 Conclusions: The DES is a reliable and valid instrument for assessment, evaluation, and external benchmarking of institutional engagement and inclusion.",9,12,14,13,13,0,1,2/20/18,39,,
10.1097/ACM.0000000000000887,"Mastery learning is an instructional approach in which educational progress is based on demonstrated performance, not curricular time. Learners practice and retest repeatedly until they reach a designated mastery level; the final level of achievement is the same for all, although time to mastery may vary. Given the unique properties of mastery learning assessments, a thoughtful approach to establishing the performance levels and metrics that determine when a learner has demonstrated mastery is essential.Standard-setting procedures require modification when used for mastery learning settings in health care, particularly regarding the use of evidence-based performance data, the determination of appropriate benchmark or comparison groups, and consideration of patient safety consequences. Information about learner outcomes and past performance data of learners successful at the subsequent level of training can be more helpful than traditional information about test performance of past examinees. The marginally competent ""borderline student"" or ""borderline group"" referenced in traditional item-based and examinee-based procedures will generally need to be redefined in mastery settings. Patient safety considerations support conjunctive standards for key knowledge and skill subdomains and for items that have an impact on clinical outcomes. Finally, traditional psychometric indices used to evaluate the quality of standards do not necessarily reflect critical measurement properties of mastery assessments. Mastery learning and testing are essential to the achievement and assessment of entrustable professional activities and residency milestones. With careful attention, sound mastery standard-setting procedures can provide an essential step toward improving the effectiveness of health professions education, patient safety, and patient care.",5,6,5,3,7,4,1,2/6/18,15,,
10.1097/ACM.0000000000000860,"Theoretical and empirical support is increasing for mastery learning, in which learners must demonstrate a minimum level of proficiency before completing a given educational unit. Mastery learning approaches aim for uniform achievement of key objectives by allowing learning time to vary and as such are a course-level analogue to broader competency-based curricular strategies. Sound assessment is the cornerstone of mastery learning systems, yet the nature of assessment validity and justification for mastery learning differs in important ways from standard assessment models. Specific validity issues include (1) the need for careful definition of what is meant by ""mastery"" in terms of learners' achievement or readiness to proceed, the expected retention of mastery over time, and the completeness of content mastery required in a particular unit; (2) validity threats associated with increased retesting; (3) the need for reliability estimates that account for the specific measurement error at the mastery versus nonmastery cut score; and (4) changes in item- and test-level score variance over retesting, which complicate the analysis of evidence related to reliability, internal structure, and relationships to other variables. The positive and negative consequences for learners, educational systems, and patients resulting from the use of mastery learning assessments must be explored to determine whether a given mastery assessment and pass/fail cut score are valid and justified. In this article, the authors outline key considerations for the validation and justification of mastery learning assessments, with the goal of supporting insightful research and sound practice as the mastery model becomes more widespread.",20,23,27,27,29,2,1,2/27/18,9,,
10.1097/ACM.0000000000000842,"The problem of poor mental health in residency is well established. Burnout, depression, and suicidal ideation are prevalent among resident physicians, and these problems appear to persist into practice. Leaders in graduate medical education such as policy makers at the Accreditation Council for Graduate Medical Education (ACGME) and directors of individual programs and institutions should acknowledge these important issues and take steps to address them. The ACGME's Clinical Learning Environment Review (CLER) Program currently outlines an expectation that institutions both educate residents about burnout and measure burnout annually. The CLER Program could go further by expecting institutions to create quality initiatives to enhance resident wellness and increase resident engagement. The ACGME should also call for and support research in this area. Leaders or directors of individual programs and institutions should consider wellness initiatives that both (1) identify and address suboptimal aspects of the learning environment and (2) train residents in resilience skills. Efforts to improve the residency learning environment could be guided by the work of Maslach and Leiter, who describe six categories of work stress that can contribute to burnout: (1) workload, (2) control, (3) balance between effort and reward, (4) community, (5) fairness, and (6) values.",24,29,37,35,40,5,1,3/11/18,9,,
10.1097/ACM.0000000000000829,"Nearly half a century ago, Lowell T. Coggeshall recommended, through what has come to be known as the Coggeshall Report, that physician education-medical school (or undergraduate medical education [UME]), residency training (or graduate medical education [GME]), and continuing medical education (CME)-be ""planned and provided as a continuum."" While the dream of a true continuum remains unfulfilled, recent innovations focused on defining and assessing meaningful outcomes at last offer the anchor for the creation of a seamless, flexible, and ongoing pathway for the preparation of physicians. Recent innovations, including a widely accepted competency framework and entrustable professional activities (EPAs), provide key tools for creating a continuum. The competency framework is being leveraged in UME, GME, and CME and is serving as the foundation for the continuum. Learners and those who assess them are increasingly relying on observable behaviors (e.g., EPAs) to determine progress. The GME community in the United States and Canada has played-and continues to play-a leading role in the creation of these tools and a true medical education continuum. Despite some systemic challenges to implementation (e.g., premedical learner formation, time-in-step requirements), the GME community is already operationalizing these tools as a basis for other innovations that are improving transitions across the continuum (e.g., competency-based progression of residents). The medical education community's greatest responsibility in the years ahead will be to build on these efforts in GME-joining together to learn from one another and develop a continuum that serves the public and the profession.",1,1,1,1,2,1,1,2/17/18,33,,
